id,query,intent_json,input_prompt,target_json
3796,aadujeevitham ka rating kya hai,"{""query_type"": ""rating/review"", ""title"": ""Aadujeevitham""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: aadujeevitham ka rating kya hai
JSON:","{""query_type"": ""rating/review"", ""title"": ""Aadujeevitham""}"
2520,fahadh comedy movie,"{""actor"": ""Fahadh Faasil"", ""genre"": ""Comedy""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: fahadh comedy movie
JSON:","{""actor"": ""Fahadh Faasil"", ""genre"": ""Comedy""}"
1973,is pushpa available on Netflix,"{""platform"": ""Netflix"", ""query_type"": ""availability"", ""title"": ""Pushpa""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: is pushpa available on Netflix
JSON:","{""platform"": ""Netflix"", ""query_type"": ""availability"", ""title"": ""Pushpa""}"
997,movies like kgf chapter 2,"{""similar_to"": ""KGF Chapter 2""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: movies like kgf chapter 2
JSON:","{""similar_to"": ""KGF Chapter 2""}"
62,mammootty sandalwood drama,"{""actor"": ""Mammootty"", ""genre"": ""Drama"", ""language"": ""Kannada""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: mammootty sandalwood drama
JSON:","{""actor"": ""Mammootty"", ""genre"": ""Drama"", ""language"": ""Kannada""}"
1109,kantara movie,"{""title"": ""Kantara""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: kantara movie
JSON:","{""title"": ""Kantara""}"
2406,watch dasara,"{""title"": ""Dasara""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: watch dasara
JSON:","{""title"": ""Dasara""}"
96,beast good hai ya nahi,"{""rating_type"": ""top rated"", ""title"": ""Beast""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: beast good hai ya nahi
JSON:","{""rating_type"": ""top rated"", ""title"": ""Beast""}"
479,bajrangi bhaijaan review,"{""query_type"": ""rating/review"", ""title"": ""Bajrangi Bhaijaan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: bajrangi bhaijaan review
JSON:","{""query_type"": ""rating/review"", ""title"": ""Bajrangi Bhaijaan""}"
4360,watch bhool bhulaiyaa,"{""title"": ""Bhool Bhulaiyaa""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: watch bhool bhulaiyaa
JSON:","{""title"": ""Bhool Bhulaiyaa""}"
4113,is drishyam 2 good,"{""rating_type"": ""top rated"", ""title"": ""Drishyam 2""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: is drishyam 2 good
JSON:","{""rating_type"": ""top rated"", ""title"": ""Drishyam 2""}"
3708,nawaz 2025 movie,"{""actor"": ""Nawazuddin Siddiqui"", ""year"": 2025}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: nawaz 2025 movie
JSON:","{""actor"": ""Nawazuddin Siddiqui"", ""year"": 2025}"
1102,inspirational bollywood film,"{""language"": ""Hindi"", ""mood"": ""inspirational""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: inspirational bollywood film
JSON:","{""language"": ""Hindi"", ""mood"": ""inspirational""}"
2747,aamir wali vikram vedha,"{""actor"": ""Aamir Khan"", ""title"": ""Vikram Vedha""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: aamir wali vikram vedha
JSON:","{""actor"": ""Aamir Khan"", ""title"": ""Vikram Vedha""}"
2171,best marathi action,"{""genre"": ""Action"", ""language"": ""Marathi"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best marathi action
JSON:","{""genre"": ""Action"", ""language"": ""Marathi"", ""rating_type"": ""top rated""}"
323,best binge worthy,"{""content_type"": ""Web Series"", ""query_type"": ""rating/review"", ""rating_type"": ""top rated"", ""recency"": ""latest""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best binge worthy
JSON:","{""content_type"": ""Web Series"", ""query_type"": ""rating/review"", ""rating_type"": ""top rated"", ""recency"": ""latest""}"
4255,top mollywood action movies,"{""genre"": ""Action"", ""language"": ""Malayalam"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top mollywood action movies
JSON:","{""genre"": ""Action"", ""language"": ""Malayalam"", ""rating_type"": ""top rated""}"
3143,marathi drama,"{""genre"": ""Drama"", ""language"": ""Marathi""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: marathi drama
JSON:","{""genre"": ""Drama"", ""language"": ""Marathi""}"
3538,animal kahan dekhein,"{""query_type"": ""availability"", ""title"": ""Animal""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: animal kahan dekhein
JSON:","{""query_type"": ""availability"", ""title"": ""Animal""}"
4926,drishyam good hai ya nahi,"{""rating_type"": ""top rated"", ""title"": ""Drishyam""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: drishyam good hai ya nahi
JSON:","{""rating_type"": ""top rated"", ""title"": ""Drishyam""}"
2925,premalu ke jaise aur koi hai kya,"{""similar_to"": ""Premalu""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: premalu ke jaise aur koi hai kya
JSON:","{""similar_to"": ""Premalu""}"
1150,movies like bajrangi bhaijaan,"{""similar_to"": ""Bajrangi Bhaijaan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: movies like bajrangi bhaijaan
JSON:","{""similar_to"": ""Bajrangi Bhaijaan""}"
3618,action binge worthy,"{""content_type"": ""Web Series"", ""genre"": ""Action"", ""query_type"": ""rating/review"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: action binge worthy
JSON:","{""content_type"": ""Web Series"", ""genre"": ""Action"", ""query_type"": ""rating/review"", ""rating_type"": ""top rated""}"
292,ayushmann ka gehraiyaan,"{""actor"": ""Ayushmann Khurrana"", ""title"": ""Gehraiyaan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: ayushmann ka gehraiyaan
JSON:","{""actor"": ""Ayushmann Khurrana"", ""title"": ""Gehraiyaan""}"
3750,thunivu film,"{""title"": ""Thunivu""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: thunivu film
JSON:","{""title"": ""Thunivu""}"
3587,gadar 2 streaming kahan hai,"{""query_type"": ""availability"", ""title"": ""Gadar 2""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: gadar 2 streaming kahan hai
JSON:","{""query_type"": ""availability"", ""title"": ""Gadar 2""}"
534,ranveer ki films,"{""actor"": ""Ranveer Singh""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: ranveer ki films
JSON:","{""actor"": ""Ranveer Singh""}"
3608,best bangla supernatural,"{""genre"": ""Supernatural"", ""language"": ""Bengali"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best bangla supernatural
JSON:","{""genre"": ""Supernatural"", ""language"": ""Bengali"", ""rating_type"": ""top rated""}"
2649,katrina film dasara,"{""actor"": ""Katrina Kaif"", ""title"": ""Dasara""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: katrina film dasara
JSON:","{""actor"": ""Katrina Kaif"", ""title"": ""Dasara""}"
4811,t'wood crime,"{""genre"": ""Crime"", ""language"": ""Telugu""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: t'wood crime
JSON:","{""genre"": ""Crime"", ""language"": ""Telugu""}"
1984,tiger shroff film shershaah,"{""actor"": ""Tiger Shroff"", ""title"": ""Shershaah""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: tiger shroff film shershaah
JSON:","{""actor"": ""Tiger Shroff"", ""title"": ""Shershaah""}"
2933,shah rukh ka kushi,"{""actor"": ""Shah Rukh Khan"", ""title"": ""Kushi""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: shah rukh ka kushi
JSON:","{""actor"": ""Shah Rukh Khan"", ""title"": ""Kushi""}"
1537,best historical movies of 2025,"{""genre"": ""Historical"", ""rating_type"": ""top rated"", ""year"": 2025}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best historical movies of 2025
JSON:","{""genre"": ""Historical"", ""rating_type"": ""top rated"", ""year"": 2025}"
4535,priyanka kgf chapter 2 movie,"{""actor"": ""Priyanka Chopra"", ""title"": ""KGF Chapter 2""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: priyanka kgf chapter 2 movie
JSON:","{""actor"": ""Priyanka Chopra"", ""title"": ""KGF Chapter 2""}"
4173,deepika ke saare movies,"{""actor"": ""Deepika Padukone""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: deepika ke saare movies
JSON:","{""actor"": ""Deepika Padukone""}"
3361,is shershaah available on YouTube,"{""platform"": ""YouTube"", ""query_type"": ""availability"", ""title"": ""Shershaah""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: is shershaah available on YouTube
JSON:","{""platform"": ""YouTube"", ""query_type"": ""availability"", ""title"": ""Shershaah""}"
3666,gujarati mystery,"{""genre"": ""Mystery"", ""language"": ""Gujarati""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: gujarati mystery
JSON:","{""genre"": ""Mystery"", ""language"": ""Gujarati""}"
4006,top rated Gujarati sports,"{""genre"": ""Sports"", ""language"": ""Gujarati"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top rated Gujarati sports
JSON:","{""genre"": ""Sports"", ""language"": ""Gujarati"", ""rating_type"": ""top rated""}"
3627,dq wali movie,"{""actor"": ""Dulquer Salmaan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: dq wali movie
JSON:","{""actor"": ""Dulquer Salmaan""}"
587,biopic movies of alia bhatt,"{""actor"": ""Alia Bhatt"", ""genre"": ""Biopic""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: biopic movies of alia bhatt
JSON:","{""actor"": ""Alia Bhatt"", ""genre"": ""Biopic""}"
3257,beast kahan dekhein,"{""query_type"": ""availability"", ""title"": ""Beast""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: beast kahan dekhein
JSON:","{""query_type"": ""availability"", ""title"": ""Beast""}"
2299,gujarati mystery 2024,"{""genre"": ""Mystery"", ""language"": ""Gujarati"", ""year"": 2024}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: gujarati mystery 2024
JSON:","{""genre"": ""Mystery"", ""language"": ""Gujarati"", ""year"": 2024}"
3989,mohanlal romance 2023,"{""actor"": ""Mohanlal"", ""genre"": ""Romance"", ""year"": 2023}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: mohanlal romance 2023
JSON:","{""actor"": ""Mohanlal"", ""genre"": ""Romance"", ""year"": 2023}"
585,drama movies 2019,"{""genre"": ""Drama"", ""year"": 2019}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: drama movies 2019
JSON:","{""genre"": ""Drama"", ""year"": 2019}"
2424,best action movies of 2025,"{""genre"": ""Action"", ""rating_type"": ""top rated"", ""year"": 2025}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best action movies of 2025
JSON:","{""genre"": ""Action"", ""rating_type"": ""top rated"", ""year"": 2025}"
1392,movies by zoya akhtar,"{""director"": ""Zoya Akhtar""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: movies by zoya akhtar
JSON:","{""director"": ""Zoya Akhtar""}"
4526,allu arjun mard ko dard nahi hota movie,"{""actor"": ""Allu Arjun"", ""title"": ""Mard Ko Dard Nahi Hota""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: allu arjun mard ko dard nahi hota movie
JSON:","{""actor"": ""Allu Arjun"", ""title"": ""Mard Ko Dard Nahi Hota""}"
4921,is mani ratnam film available on Netflix,"{""platform"": ""Netflix"", ""query_type"": ""availability"", ""title"": ""Mani Ratnam film""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: is mani ratnam film available on Netflix
JSON:","{""platform"": ""Netflix"", ""query_type"": ""availability"", ""title"": ""Mani Ratnam film""}"
4801,kangana wali jawan,"{""actor"": ""Kangana Ranaut"", ""title"": ""Jawan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: kangana wali jawan
JSON:","{""actor"": ""Kangana Ranaut"", ""title"": ""Jawan""}"
3241,bebo film omg 2,"{""actor"": ""Kareena Kapoor"", ""title"": ""OMG 2""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: bebo film omg 2
JSON:","{""actor"": ""Kareena Kapoor"", ""title"": ""OMG 2""}"
4282,vijay wali movie,"{""actor"": ""Vijay Deverakonda""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: vijay wali movie
JSON:","{""actor"": ""Vijay Deverakonda""}"
3339,ranveer singh new movie ludo,"{""actor"": ""Ranveer Singh"", ""recency"": ""latest"", ""title"": ""Ludo""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: ranveer singh new movie ludo
JSON:","{""actor"": ""Ranveer Singh"", ""recency"": ""latest"", ""title"": ""Ludo""}"
3221,ulaganayagan ki best mystery film,"{""actor"": ""Kamal Haasan"", ""genre"": ""Mystery"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: ulaganayagan ki best mystery film
JSON:","{""actor"": ""Kamal Haasan"", ""genre"": ""Mystery"", ""rating_type"": ""top rated""}"
2112,movies like kantara,"{""similar_to"": ""Kantara""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: movies like kantara
JSON:","{""similar_to"": ""Kantara""}"
1175,hindi mystery film,"{""genre"": ""Mystery"", ""language"": ""Hindi""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: hindi mystery film
JSON:","{""genre"": ""Mystery"", ""language"": ""Hindi""}"
4863,mr perfectionist leo movie,"{""actor"": ""Aamir Khan"", ""title"": ""Leo""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: mr perfectionist leo movie
JSON:","{""actor"": ""Aamir Khan"", ""title"": ""Leo""}"
3812,sci-fi web series,"{""content_type"": ""Web Series"", ""genre"": ""Sci-Fi""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: sci-fi web series
JSON:","{""content_type"": ""Web Series"", ""genre"": ""Sci-Fi""}"
1868,top rated Hindi historical,"{""genre"": ""Historical"", ""language"": ""Hindi"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top rated Hindi historical
JSON:","{""genre"": ""Historical"", ""language"": ""Hindi"", ""rating_type"": ""top rated""}"
2615,hindi mein mystery movies,"{""genre"": ""Mystery"", ""language"": ""Hindi""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: hindi mein mystery movies
JSON:","{""genre"": ""Mystery"", ""language"": ""Hindi""}"
3867,rk new film,"{""actor"": ""Ranbir Kapoor"", ""recency"": ""latest""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: rk new film
JSON:","{""actor"": ""Ranbir Kapoor"", ""recency"": ""latest""}"
4886,kangana wali animal,"{""actor"": ""Kangana Ranaut"", ""title"": ""Animal""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: kangana wali animal
JSON:","{""actor"": ""Kangana Ranaut"", ""title"": ""Animal""}"
3779,big b family movie,"{""actor"": ""Amitabh Bachchan"", ""genre"": ""Family""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: big b family movie
JSON:","{""actor"": ""Amitabh Bachchan"", ""genre"": ""Family""}"
3847,zoya akhtar ki best movie kaun si hai,"{""director"": ""Zoya Akhtar"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: zoya akhtar ki best movie kaun si hai
JSON:","{""director"": ""Zoya Akhtar"", ""rating_type"": ""top rated""}"
2417,dq ka delhi crime,"{""actor"": ""Dulquer Salmaan"", ""title"": ""Delhi Crime""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: dq ka delhi crime
JSON:","{""actor"": ""Dulquer Salmaan"", ""title"": ""Delhi Crime""}"
71,movies like panchayat,"{""similar_to"": ""Panchayat""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: movies like panchayat
JSON:","{""similar_to"": ""Panchayat""}"
4881,sultan,"{""title"": ""Sultan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: sultan
JSON:","{""title"": ""Sultan""}"
1127,show me Bengali movies from 2020,"{""language"": ""Bengali"", ""year"": 2020}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: show me Bengali movies from 2020
JSON:","{""language"": ""Bengali"", ""year"": 2020}"
4025,drishyam with vijay,"{""actor"": ""Vijay Deverakonda"", ""title"": ""Drishyam""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: drishyam with vijay
JSON:","{""actor"": ""Vijay Deverakonda"", ""title"": ""Drishyam""}"
3251,war with hrithik,"{""actor"": ""Hrithik Roshan"", ""title"": ""War""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: war with hrithik
JSON:","{""actor"": ""Hrithik Roshan"", ""title"": ""War""}"
3902,hindi mein drama,"{""genre"": ""Drama"", ""language"": ""Hindi""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: hindi mein drama
JSON:","{""genre"": ""Drama"", ""language"": ""Hindi""}"
1096,shahenshah film garuda gamana vrishabha vahana,"{""actor"": ""Amitabh Bachchan"", ""title"": ""Garuda Gamana Vrishabha Vahana""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: shahenshah film garuda gamana vrishabha vahana
JSON:","{""actor"": ""Amitabh Bachchan"", ""title"": ""Garuda Gamana Vrishabha Vahana""}"
4546,katrina ki best sports film,"{""actor"": ""Katrina Kaif"", ""genre"": ""Sports"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: katrina ki best sports film
JSON:","{""actor"": ""Katrina Kaif"", ""genre"": ""Sports"", ""rating_type"": ""top rated""}"
1213,new tollywood romance,"{""genre"": ""Romance"", ""language"": ""Telugu"", ""recency"": ""latest""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: new tollywood romance
JSON:","{""genre"": ""Romance"", ""language"": ""Telugu"", ""recency"": ""latest""}"
3922,aamir khan ki best movie,"{""actor"": ""Aamir Khan"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: aamir khan ki best movie
JSON:","{""actor"": ""Aamir Khan"", ""rating_type"": ""top rated""}"
1426,new bengali sci-fi,"{""genre"": ""Sci-Fi"", ""language"": ""Bengali"", ""recency"": ""latest""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: new bengali sci-fi
JSON:","{""genre"": ""Sci-Fi"", ""language"": ""Bengali"", ""recency"": ""latest""}"
3067,taapsee ka beast,"{""actor"": ""Taapsee Pannu"", ""title"": ""Beast""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: taapsee ka beast
JSON:","{""actor"": ""Taapsee Pannu"", ""title"": ""Beast""}"
4520,bebo superhit movies,"{""actor"": ""Kareena Kapoor"", ""rating_type"": ""hit""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: bebo superhit movies
JSON:","{""actor"": ""Kareena Kapoor"", ""rating_type"": ""hit""}"
2101,nawaz ka drishyam,"{""actor"": ""Nawazuddin Siddiqui"", ""title"": ""Drishyam""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: nawaz ka drishyam
JSON:","{""actor"": ""Nawazuddin Siddiqui"", ""title"": ""Drishyam""}"
808,lalettan ke saare movies,"{""actor"": ""Mohanlal""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: lalettan ke saare movies
JSON:","{""actor"": ""Mohanlal""}"
4744,jailer review,"{""query_type"": ""rating/review"", ""title"": ""Jailer""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: jailer review
JSON:","{""query_type"": ""rating/review"", ""title"": ""Jailer""}"
3751,top rated Hindi sci-fi,"{""genre"": ""Sci-Fi"", ""language"": ""Hindi"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top rated Hindi sci-fi
JSON:","{""genre"": ""Sci-Fi"", ""language"": ""Hindi"", ""rating_type"": ""top rated""}"
1363,dabangg wala film the family man,"{""actor"": ""Salman Khan"", ""title"": ""The Family Man""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: dabangg wala film the family man
JSON:","{""actor"": ""Salman Khan"", ""title"": ""The Family Man""}"
2318,best family movies of 2024,"{""genre"": ""Family"", ""rating_type"": ""top rated"", ""year"": 2024}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best family movies of 2024
JSON:","{""genre"": ""Family"", ""rating_type"": ""top rated"", ""year"": 2024}"
4582,what are good family films on MX Player,"{""genre"": ""Family"", ""platform"": ""MX Player"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: what are good family films on MX Player
JSON:","{""genre"": ""Family"", ""platform"": ""MX Player"", ""rating_type"": ""top rated""}"
4742,varisu,"{""title"": ""Varisu""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: varisu
JSON:","{""title"": ""Varisu""}"
1026,hindi mein sci-fi,"{""genre"": ""Sci-Fi"", ""language"": ""Hindi""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: hindi mein sci-fi
JSON:","{""genre"": ""Sci-Fi"", ""language"": ""Hindi""}"
3110,how is bajrangi bhaijaan,"{""query_type"": ""rating/review"", ""title"": ""Bajrangi Bhaijaan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: how is bajrangi bhaijaan
JSON:","{""query_type"": ""rating/review"", ""title"": ""Bajrangi Bhaijaan""}"
2111,top mallu film sports movies,"{""genre"": ""Sports"", ""language"": ""Malayalam"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top mallu film sports movies
JSON:","{""genre"": ""Sports"", ""language"": ""Malayalam"", ""rating_type"": ""top rated""}"
1042,top rated Malayalam historical,"{""genre"": ""Historical"", ""language"": ""Malayalam"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: top rated Malayalam historical
JSON:","{""genre"": ""Historical"", ""language"": ""Malayalam"", ""rating_type"": ""top rated""}"
1877,vikram vedha streaming kahan hai,"{""query_type"": ""availability"", ""title"": ""Vikram Vedha""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: vikram vedha streaming kahan hai
JSON:","{""query_type"": ""availability"", ""title"": ""Vikram Vedha""}"
